prod_cat,total_kg_co2e,spend,co2e_per_dollar
eggs,5691.683640063750,15168.75,0.375224303
cheese,899.2879121,20581.8291,0.043693294
meat,83.60901526,2639.5023,0.031676053
fabric,3222.9608065641,14887.5,0.216487712
flours,974.0224628,9479.55,0.102749863
bread,1403.332689,23022.452,0.060954962
cookie,3417.843439,44519.892,0.076771153
sugar,4081.389375,29600.65,0.137881748
coffee,2382.697079,29514.36,0.080730095
dried,2571.858993,21126.871,0.121734023
ice cream,400.5735318823,11255.05,0.03559056
frozen,1464.616341,14809.3004,0.098898415
scrap,583.2254737,2679.25,0.217682364
cond_d,24.75984426,244.25,0.101370908
dairy,1808.136693,39653.4371,0.045598486
soy,1788.859759,33715.2367,0.053057903
oilseed,31040.12597,41171.69,0.753919161
snack,5391.889622,58689.66,0.091871202
grain,40724.62123603290,34515.94,1.179878666
fish,33.94878028,793.68,0.042773889
seasoning,1002.789546,22753.895,0.044071116
brewery,1572.67237,18258,0.08613607
floral,910.2881725,750.25,1.213313126
cleaning,2139.57613,53724.57,0.039824909
beauty,529.5510077,40165.52,0.013184219
fruit,48011.89423741500,55045.066700000000,0.872228832
vegetable,86490.9251149685,77127.0309,1.121408722
apparel,205.1277692,4829.64,0.042472683
glass,5575.031625,12464.93,0.447257355
cutlery,297.4262938,4321.25,0.068828763
paper,684.65425103856,2970,0.230523317
metal,523.3045276,6842.25,0.076481352
thread,106.8785805,2041.2,0.052360661
honey,2229.459432,7534.88,0.295885194
other food,20189.14661,19229.5603,1.049901625
other all,829.3011496,13848.14,0.059885382
