2019_offset_totals,,,,,,,,,,,,,,,,,,,
went_to,weight_kg,total_emission_med,total_emission_high,total_emission_low,,,,,,,,,,,,,,,
Compost,733,-132.0154545,-132.0154545,-132.0154545,,,,,,,,,,,,,,,
Café,2072,-5259.869351,-11189.1834,-3315.3136,,,,,,,,,,,,,,,
